"","lon","lat","id","ppt_01","ppt_02","ppt_03","ppt_04","ppt_05","ppt_06","ppt_07","ppt_08","ppt_09","ppt_10","ppt_11","ppt_12","tmean_01","tmean_02","tmean_03","tmean_04","tmean_05","tmean_06","tmean_07","tmean_08","tmean_09","tmean_10","tmean_11","tmean_12"
"3",-99,27,"lat27_lon-99_id",26.0300006866455,29.0200004577637,23.9899997711182,33.9000015258789,59.5800018310547,59.6199989318848,49.2799987792969,42.4599990844727,89.2900009155273,54.1800003051758,29.5200004577637,23.4899997711182,13.8999996185303,16.1900005340576,20.0799999237061,23.8450012207031,27.3449993133545,29.9300003051758,30.1900005340576,30.5450000762939,27.7849998474121,23.8699989318848,19.0249996185303,14.25
"6",-81,27,"lat27_lon-81_id",38.5,46.4500007629395,79.3000030517578,52.939998626709,76.8199996948242,153.509994506836,134.580001831055,154.139999389648,131.570007324219,72.5299987792969,42.4000015258789,37.439998626709,16.8649997711182,18.2399997711182,19.9850006103516,22.0200004577637,24.9249992370605,27.0499992370605,27.7800006866455,27.9599990844727,27.1599998474121,24.5349998474121,21.1399993896484,18.1499996185303
"9",-99,29,"lat29_lon-99_id",36.2799987792969,40.3800010681152,50.75,50.0800018310547,77.9199981689453,85.5100021362305,60.7999992370605,44.5099983215332,71.5100021362305,81.879997253418,41.5,32.5999984741211,11.6050004959106,13.6049995422363,17.4449996948242,21.3549995422363,25.5299987792969,28.2449989318848,29.3099994659424,29.6049995422363,26.7600002288818,22.2849998474121,16.8549995422363,12.1049995422363
"10",-97,29,"lat29_lon-97_id",65.8499984741211,58.0299987792969,68.0699996948242,65.4100036621094,115.099998474121,110.230003356934,87.7200012207031,71.6399993896484,105.23999786377,113.660003662109,84.120002746582,62.1199989318848,11.8850002288818,13.8250007629395,17.2000007629395,20.8799991607666,24.7950000762939,27.6599998474121,28.6549987792969,29.1349983215332,26.6949996948242,22.3549995422363,17.3699989318848,12.875
"17",-81,29,"lat29_lon-81_id",76.2799987792969,73.120002746582,100.860000610352,59.3499984741211,79.3399963378906,153.169998168945,147.410003662109,175.619995117188,181.770004272461,109.349998474121,71.5,71.9100036621094,14.5499992370605,16,18.3150005340576,20.8050003051758,24.125,26.6800003051758,27.6150016784668,27.5749988555908,26.6100006103516,23.4549999237061,19.5949993133545,16.0699996948242
"21",-105,31,"lat31_lon-105_id",12.4399995803833,12.7600002288818,6.55999994277954,8.61999988555908,15.1000003814697,28.1100006103516,58.6599998474121,57.8199996948242,42.0299987792969,32.5800018310547,12.6199998855591,13.3199996948242,6.20499992370605,8.48499965667725,11.9650001525879,16.1849994659424,21.1350002288818,25.310001373291,25.6399993896484,24.8649997711182,21.8150005340576,16.875,10.8050003051758,6.35500001907349
"22",-103,31,"lat31_lon-103_id",13.1199998855591,12.9799995422363,12.0699996948242,15.9700002670288,35.2799987792969,35.9000015258789,38.7000007629395,43.8499984741211,52.3400001525879,41.0900001525879,14.6400003433228,14.1099996566772,8.10999965667725,10.5050001144409,14.3150005340576,18.9200000762939,23.8250007629395,27.439998626709,28.0200004577637,27.5400009155273,24.2950000762939,19.1900005340576,13.0699996948242,8.26499938964844
"23",-101,31,"lat31_lon-101_id",21.0400009155273,34.7200012207031,36.8899993896484,32.7599983215332,63.5099983215332,67.6800003051758,41.25,59,59.8899993896484,60.6300010681152,28.5,22.6100006103516,7.29999971389771,9.34500026702881,13.3000001907349,17.8299999237061,22.4600009918213,25.7399997711182,26.9400005340576,26.7950000762939,23.4200000762939,18.2550010681152,12.4250001907349,7.54999971389771
"24",-99,31,"lat31_lon-99_id",31.7199993133545,50.6399993896484,59.0299987792969,48.8199996948242,90.2799987792969,104.610000610352,58.9199981689453,53.1300010681152,71.3000030517578,68.9000015258789,48.6599998474121,42.7599983215332,8.26499938964844,10.3199996948242,14.1399993896484,18.4750003814697,22.8349990844727,26.0349998474121,27.6949996948242,27.8849983215332,24.3600006103516,19.3299999237061,13.5799999237061,8.56999969482422
"25",-97,31,"lat31_lon-97_id",59.060001373291,64.5999984741211,73.2699966430664,59.7900009155273,108.800003051758,92.5800018310547,43.9300003051758,55.4099998474121,72.0899963378906,100.779998779297,84.1800003051758,76.9400024414062,9.43000030517578,11.4450006484985,15.2150001525879,19.3950004577637,23.6450004577637,26.8349990844727,28.6349983215332,28.9150009155273,25.7350006103516,20.6350002288818,15.0999994277954,10.1500005722046
